Vardas              Pavardė            ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   ND11   ND12   ND13   ND14   ND15   Egz.
Vardas23            Pavardė23          8      2      10     4      1      2      9      1      5      9      8      1      10     6      9      4
Vardas24            Pavardė24          3      5      1      7      7      6      10     8      10     3      10     8      2      7      4      8
Vardas25            Pavardė25          7      10     7      10     2      8      4      10     1      2      2      7      4      5      5      10
Vardas26            Pavardė26          10     7      9      7      6      9      9      3      5      8      6      10     7      4      5      8
Vardas27            Pavardė27          2      8      3      6      9      2      6      2      10     7      5      10     8      2      2      1
Vardas28            Pavardė28          8      4      9      6      1      2      9      10     3      9      9      8      2      6      1      2
Vardas29            Pavardė29          5      8      4      1      9      9      1      2      8      2      4      9      10     1      2      4
Vardas30            Pavardė30          10     7      2      8      8      7      6      3      9      1      2      2      10     10     4      9
Vardas31            Pavardė31          6      9      8      1      6      1      9      5      9      7      6      6      3      9      10     1
Vardas32            Pavardė32          1      7      8      9      5      4      9      6      5      10     2      2      4      8      9      3
Vardas33            Pavardė33          8      7      7      9      8      7      2      1      10     9      8      6      4      7      10     8
Vardas34            Pavardė34          3      3      4      4      2      2      2      7      9      10     1      5      4      6      5      9
Vardas35            Pavardė35          9      4      10     1      8      10     2      1      3      9      6      3      9      5      8      4
Vardas36            Pavardė36          10     5      5      2      8      7      7      7      6      1      5      7      2      6      9      8
Vardas37            Pavardė37          5      5      9      7      3      4      8      2      7      3      3      5      7      2      5      5
Vardas38            Pavardė38          7      1      1      3      4      7      8      4      1      1      2      8      7      9      10     2
Vardas39            Pavardė39          2      4      8      8      9      7      2      6      4      7      1      3      10     6      3      5
Vardas40            Pavardė40          6      6      1      8      2      1      9      8      8      3      10     8      3      2      1      10
Vardas41            Pavardė41          5      10     6      3      7      2      10     9      1      7      3      5      10     7      2      3
Vardas42            Pavardė42          9      5      7      4      5      4      7      7      8      8      6      4      5      4      9      7
Vardas43            Pavardė43          6      4      7      3      2      1      8      7      7      1      8      8      7      7      5      5
Vardas44            Pavardė44          2      3      10     4      2      8      7      2      3      6      8      10     8      3      2      3
Vardas45            Pavardė45          7      1      6      10     9      3      1      4      8      5      1      4      1      9      5      3
Vardas46            Pavardė46          2      10     6      7      5      8      2      1      4      1      9      8      5      9      8      10
Vardas47            Pavardė47          5      6      10     8      10     5      8      3      2      7      3      7      2      6      9      1
Vardas48            Pavardė48          9      7      7      8      5      10     2      7      5      6      6      3      1      9      3      9
Vardas49            Pavardė49          4      4      9      4      6      4      6      5      9      6      4      5      7      8      9      4
Vardas50            Pavardė50          10     8      8      3      6      5      3      6      8      8      7      8      2      10     4      7
Vardas51            Pavardė51          3      7      4      7      5      8      10     10     9      7      1      5      4      9      3      1
Vardas52            Pavardė52          8      3      4      6      6      6      2      5      3      6      7      7      10     9      7      4
Vardas53            Pavardė53          2      6      2      3      8      7      7      4      7      3      6      8      1      9      10     6
Vardas54            Pavardė54          6      10     4      9      8      7      4      4      5      1      10     8      3      4      7      4
Vardas55            Pavardė55          2      2      9      3      3      8      7      10     6      10     5      10     9      6      2      4
Vardas56            Pavardė56          8      4      1      1      10     6      3      2      6      8      8      10     10     5      10     7
Vardas57            Pavardė57          9      6      3      2      10     10     2      2      10     9      6      6      3      9      2      5
Vardas58            Pavardė58          5      9      8      9      1      10     5      2      4      9      10     1      8      6      1      9
Vardas59            Pavardė59          8      10     4      7      8      2      8      3      9      5      10     5      8      10     7      2
Vardas60            Pavardė60          5      7      5      4      5      2      7      3      8      1      8      10     8      4      9      9
Vardas61            Pavardė61          1      4      7      8      4      3      7      5      8      8      4      10     8      5      5      2
Vardas62            Pavardė62          2      5      3      1      9      4      3      5      5      1      4      3      2      5      9      10
Vardas63            Pavardė63          9      5      5      3      6      5      8      3      4      1      4      1      9      6      2      2
Vardas64            Pavardė64          8      6      10     8      5      4      3      1      4      4      10     8      9      2      9      3
Vardas65            Pavardė65          9      1      10     8      2      7      9      8      7      4      9      8      10     2      7      3
Vardas66            Pavardė66          10     5      2      9      7      9      4      9      7      6      1      3      7      4      10     2
Vardas67            Pavardė67          10     6      5      4      1      10     3      7      6      9      1      4      4      9      2      5
Vardas68            Pavardė68          5      5      5      5      9      5      3      4      6      5      4      4      9      8      5      3
Vardas69            Pavardė69          9      7      3      9      4      7      2      10     8      7      10     9      2      6      10     7
Vardas70            Pavardė70          7      4      6      7      5      1      1      10     3      3      3      1      7      6      7      10
Vardas71            Pavardė71          9      4      8      3      3      5      1      6      7      8      7      5      6      6      3      8
Vardas72            Pavardė72          10     9      3      5      6      7      5      1      4      6      2      3      1      1      5      9
Vardas73            Pavardė73          3      3      2      6      6      4      6      8      8      10     10     10     2      1      4      5
Vardas74            Pavardė74          3      1      7      3      7      3      1      7      10     3      1      10     4      7      8      1
Vardas75            Pavardė75          2      10     3      2      3      6      10     3      9      8      5      3      7      4      10     3
Vardas76            Pavardė76          10     3      5      7      10     10     3      1      7      8      7      10     8      7      2      1
Vardas77            Pavardė77          7      2      2      8      7      6      4      4      10     1      8      1      1      7      1      6
Vardas78            Pavardė78          1      8      8      5      4      10     6      2      4      4      1      8      9      6      10     6
Vardas79            Pavardė79          4      8      7      1      7      1      1      10     3      7      6      4      3      6      8      1
Vardas80            Pavardė80          6      5      1      6      3      8      7      1      9      3      7      9      1      1      10     10
Vardas81            Pavardė81          6      4      2      6      9      5      3      3      9      8      4      10     9      2      5      8
Vardas82            Pavardė82          7      9      10     3      3      4      1      4      7      3      6      2      10     1      8      5
Vardas83            Pavardė83          7      10     8      5      1      10     5      5      6      1      4      8      3      9      1      5
Vardas84            Pavardė84          7      8      5      9      10     5      3      7      6      4      9      8      6      5      9      9
Vardas85            Pavardė85          3      10     9      8      3      5      1      10     4      4      1      7      7      5      5      1
Vardas86            Pavardė86          9      2      7      3      2      1      7      3      6      2      4      10     4      8      6      5
Vardas87            Pavardė87          3      6      8      6      4      7      4      5      9      3      1      7      10     2      5      5
Vardas88            Pavardė88          6      5      6      5      3      10     6      3      7      5      5      4      10     1      2      5
Vardas89            Pavardė89          3      5      7      1      10     5      6      3      2      6      10     2      3      1      9      3
Vardas90            Pavardė90          8      6      8      5      1      7      4      2      2      8      9      7      10     2      9      3
Vardas91            Pavardė91          2      4      2      7      5      10     10     7      7      10     10     8      10     6      1      6
Vardas92            Pavardė92          10     2      4      8      9      5      7      2      2      5      8      3      10     9      4      6
Vardas93            Pavardė93          10     7      8      9      9      2      1      10     7      8      4      1      1      7      9      10
Vardas94            Pavardė94          10     8      6      9      2      5      5      4      6      5      9      10     8      1      3      2
Vardas95            Pavardė95          10     7      3      7      3      6      5      6      4      2      1      5      1      1      8      1
Vardas96            Pavardė96          6      5      7      1      7      4      3      3      3      4      8      8      9      2      4      2
Vardas97            Pavardė97          3      2      5      8      2      5      3      1      4      6      8      8      4      4      6      8
Vardas98            Pavardė98          3      9      1      8      9      1      10     3      6      1      8      7      3      4      8      3
Vardas99            Pavardė99          7      7      3      1      7      4      4      8      9      1      10     1      4      1      9      9
Vardas100           Pavardė100         5      8      5      1      2      10     4      10     10     3      4      9      1      4      2      5
Vardas101           Pavardė101         6      4      4      7      1      6      3      7      5      8      2      6      7      4      2      6
Vardas102           Pavardė102         4      3      1      7      5      10     3      9      7      3      3      4      6      7      2      9
Vardas103           Pavardė103         3      5      1      10     3      1      6      5      1      8      4      10     8      10     2      1
Vardas104           Pavardė104         8      2      7      10     4      3      9      10     10     10     8      9      1      5      8      2
Vardas105           Pavardė105         4      1      7      8      4      5      10     3      7      10     6      4      9      1      7      3
Vardas106           Pavardė106         10     4      5      3      3      3      1      10     1      8      10     4      4      10     8      8
Vardas107           Pavardė107         5      6      6      1      10     8      6      8      10     9      7      1      6      8      1      6
Vardas108           Pavardė108         2      6      9      6      2      8      7      8      8      6      9      9      5      10     6      4
Vardas109           Pavardė109         2      1      1      8      2      1      6      5      7      9      6      7      7      3      9      8
Vardas110           Pavardė110         3      4      1      1      7      9      2      7      10     4      10     2      8      2      9      9
Vardas111           Pavardė111         3      4      5      9      1      5      8      1      1      3      7      3      9      7      7      8
Vardas112           Pavardė112         3      4      3      6      10     6      8      2      2      6      3      3      2      6      10     6
Vardas113           Pavardė113         2      5      10     4      3      9      1      5      10     10     4      9      2      9      10     6
Vardas114           Pavardė114         5      5      7      2      9      9      3      3      2      1      10     6      4      10     4      9
Vardas115           Pavardė115         10     10     8      3      8      8      3      3      5      2      4      6      4      2      6      1
Vardas116           Pavardė116         5      8      7      2      10     6      1      6      4      9      6      4      9      9      6      8
Vardas117           Pavardė117         10     5      4      9      9      1      5      8      1      2      6      8      6      2      7      4
Vardas118           Pavardė118         6      1      9      2      6      1      7      1      3      10     4      4      7      10     6      3
Vardas119           Pavardė119         4      7      4      9      5      10     5      3      4      4      3      6      10     10     9      5
Vardas120           Pavardė120         4      10     5      3      4      5      8      1      4      2      2      8      1      5      1      7
Vardas121           Pavardė121         5      1      10     9      3      9      3      8      5      5      5      6      1      10     5      5
Vardas122           Pavardė122         10     3      2      8      9      9      6      1      10     7      4      7      9      6      9      8
Vardas123           Pavardė123         4      5      4      6      1      10     7      7      3      4      5      8      7      10     3      2
Vardas124           Pavardė124         10     1      6      5      10     3      10     5      8      8      6      5      10     10     2      9
Vardas125           Pavardė125         3      8      6      1      3      6      1      4      4      9      2      6      6      8      1      4
Vardas126           Pavardė126         10     9      8      9      1      1      3      10     10     3      9      1      9      4      3      8
Vardas127           Pavardė127         1      8      9      6      4      4      5      10     4      10     3      5      1      5      7      1
Vardas128           Pavardė128         9      8      1      3      1      1      6      3      7      6      5      7      8      1      10     6
Vardas129           Pavardė129         9      3      3      2      9      9      5      1      1      4      9      4      3      8      2      3
Vardas130           Pavardė130         4      6      10     4      7      10     7      9      8      9      4      6      2      8      10     3
Vardas131           Pavardė131         5      3      2      3      3      5      7      1      3      2      7      1      7      6      5      9
Vardas132           Pavardė132         4      9      4      3      1      8      8      6      4      9      5      8      1      5      7      9
Vardas133           Pavardė133         1      7      1      5      6      6      6      6      8      1      7      9      3      6      8      2
Vardas134           Pavardė134         2      7      5      2      6      1      5      2      3      1      7      9      6      5      4      4
Vardas135           Pavardė135         1      2      6      2      1      9      7      8      1      3      6      2      6      9      4      8
Vardas136           Pavardė136         8      4      9      2      9      5      9      1      2      5      1      5      10     1      6      3
Vardas137           Pavardė137         8      7      1      4      2      10     5      4      1      3      5      6      5      8      6      4
Vardas138           Pavardė138         8      7      5      5      3      8      5      8      4      7      8      8      8      1      10     3
Vardas139           Pavardė139         10     6      10     6      2      9      5      9      8      6      5      7      9      5      2      8
Vardas140           Pavardė140         8      7      10     9      2      10     8      5      10     6      8      4      6      9      5      8
Vardas141           Pavardė141         1      8      2      9      6      6      8      10     6      1      9      4      10     5      6      7
Vardas142           Pavardė142         2      7      2      7      6      8      8      1      1      3      5      2      1      4      8      7
Vardas143           Pavardė143         3      5      8      9      2      1      7      5      1      5      6      6      5      4      3      3
Vardas144           Pavardė144         10     7      1      5      8      6      6      2      2      10     1      5      5      10     9      4
Vardas145           Pavardė145         6      2      1      2      1      3      10     7      2      5      7      3      6      6      6      10
Vardas146           Pavardė146         3      5      10     2      4      9      4      3      1      2      2      5      4      9      4      3
Vardas147           Pavardė147         5      3      4      9      10     3      4      7      3      9      8      5      2      7      6      5
Vardas148           Pavardė148         8      8      8      2      6      3      9      4      5      8      9      3      8      9      4      8
Vardas149           Pavardė149         2      9      3      2      6      9      9      5      5      6      9      6      4      8      9      5
Vardas150           Pavardė150         10     9      9      9      4      7      3      8      7      9      7      1      10     2      1      3
Vardas151           Pavardė151         10     6      1      9      5      2      8      10     7      8      9      6      4      6      2      5
Vardas152           Pavardė152         10     2      5      6      9      1      10     7      6      7      10     9      7      6      4      6
Vardas153           Pavardė153         5      3      3      10     9      4      5      2      5      5      2      1      5      6      4      8
Vardas154           Pavardė154         1      2      2      8      10     7      1      5      8      7      5      1      2      8      10     9
Vardas155           Pavardė155         7      10     4      1      5      9      10     1      5      8      9      2      1      7      9      1
Vardas156           Pavardė156         10     2      8      3      7      4      1      2      3      5      5      9      5      6      3      7
Vardas157           Pavardė157         9      7      2      3      8      8      5      9      1      8      3      6      8      7      6      4
Vardas158           Pavardė158         6      6      9      8      2      4      10     10     1      5      6      8      6      3      10     3
Vardas159           Pavardė159         7      8      3      2      10     10     9      9      1      2      9      10     2      10     3      8
Vardas160           Pavardė160         6      4      1      9      9      5      9      1      6      4      2      4      3      8      4      10
Vardas161           Pavardė161         10     5      8      8      10     10     9      8      1      10     1      9      2      10     5      4
Vardas162           Pavardė162         10     9      9      5      10     7      7      10     10     7      9      8      7      8      1      6
Vardas163           Pavardė163         4      3      8      8      1      9      6      7      6      7      1      4      1      6      6      4
Vardas164           Pavardė164         10     6      9      2      1      2      3      6      9      1      7      6      5      9      2      1
Vardas165           Pavardė165         2      3      1      7      7      7      7      9      9      2      5      6      4      2      8      9
Vardas166           Pavardė166         5      6      1      3      4      5      10     7      1      6      4      4      6      1      9      1
Vardas167           Pavardė167         3      4      1      4      3      10     2      5      9      5      3      10     8      9      9      3
Vardas168           Pavardė168         9      7      10     3      7      10     4      8      8      4      3      5      8      2      6      2
Vardas169           Pavardė169         8      2      1      10     3      9      4      1      6      4      5      3      8      2      1      2
Vardas170           Pavardė170         9      1      2      6      1      1      10     5      5      10     5      2      9      8      6      9
Vardas171           Pavardė171         2      6      6      10     10     9      3      8      4      7      8      5      6      1      9      1
Vardas172           Pavardė172         2      6      7      3      7      1      3      5      8      5      4      1      1      4      5      6
Vardas173           Pavardė173         6      9      1      5      9      6      10     6      8      6      10     10     2      6      2      9
Vardas174           Pavardė174         4      10     5      7      7      8      4      10     9      6      6      1      5      10     3      7
Vardas175           Pavardė175         5      10     5      10     2      5      1      9      1      8      2      5      6      8      8      5
Vardas176           Pavardė176         8      10     1      9      6      1      2      3      3      8      2      8      6      5      10     5
Vardas177           Pavardė177         4      8      2      2      6      5      6      6      1      6      8      5      3      2      7      5
Vardas178           Pavardė178         10     1      1      1      1      7      3      2      8      1      6      7      3      8      5      3
Vardas179           Pavardė179         5      5      9      10     2      1      1      7      8      1      5      5      8      6      7      9
Vardas180           Pavardė180         2      8      3      2      8      4      2      3      5      3      8      6      1      4      10     8
Vardas181           Pavardė181         4      7      8      4      2      10     1      6      8      10     8      1      10     5      4      10
Vardas182           Pavardė182         8      4      8      2      5      4      4      3      2      10     9      7      8      5      8      2
Vardas183           Pavardė183         2      5      4      9      10     8      4      1      9      7      4      3      6      10     4      6
Vardas184           Pavardė184         9      10     9      3      8      9      10     5      10     3      2      5      5      8      8      10
Vardas185           Pavardė185         3      2      3      8      5      1      7      6      1      2      9      10     7      2      10     4
Vardas186           Pavardė186         9      4      8      8      4      4      1      1      2      3      9      6      2      9      9      2
Vardas187           Pavardė187         3      3      8      7      2      10     1      9      10     1      4      5      6      8      3      8
Vardas188           Pavardė188         7      8      5      3      7      1      4      4      6      2      1      9      6      10     3      5
Vardas189           Pavardė189         2      1      4      6      3      8      2      2      8      1      10     3      8      10     10     2
Vardas190           Pavardė190         9      2      2      7      9      6      5      7      5      6      4      10     3      1      8      7
Vardas191           Pavardė191         8      1      10     3      5      7      1      3      2      2      3      5      4      3      5      9
Vardas192           Pavardė192         5      8      5      4      7      2      3      9      1      5      7      8      7      8      6      6
Vardas193           Pavardė193         1      1      10     10     6      6      5      9      8      6      5      8      7      8      9      4
Vardas194           Pavardė194         6      10     4      3      4      2      2      1      6      3      6      7      7      4      9      8
Vardas195           Pavardė195         6      2      3      6      4      4      3      7      5      1      6      7      10     1      5      8
Vardas196           Pavardė196         8      4      8      2      2      6      2      10     1      4      5      3      9      10     10     9
Vardas197           Pavardė197         9      4      8      3      9      2      6      8      5      5      1      9      9      2      9      8
Vardas198           Pavardė198         6      5      9      5      6      6      1      8      2      4      7      10     7      8      5      5
Vardas199           Pavardė199         1      3      8      2      10     4      7      8      4      3      8      7      7      3      10     4
Vardas200           Pavardė200         7      4      7      8      2      3      2      5      2      3      4      2      9      2      9      3
Vardas201           Pavardė201         6      4      5      5      7      10     9      2      4      6      5      2      2      4      10     9
Vardas202           Pavardė202         2      2      4      6      9      9      4      4      8      6      5      5      9      7      4      1
Vardas203           Pavardė203         7      7      4      8      3      5      10     8      2      8      3      6      7      5      1      7
Vardas204           Pavardė204         2      5      1      7      9      3      2      9      10     6      6      5      1      3      10     10
Vardas205           Pavardė205         6      4      4      9      4      5      1      6      7      9      3      7      1      5      7      4
Vardas206           Pavardė206         3      10     1      10     5      5      6      1      10     1      8      2      9      1      7      5
Vardas207           Pavardė207         2      7      7      7      1      2      6      10     7      5      4      3      10     8      7      4
Vardas208           Pavardė208         3      2      4      3      8      7      1      3      3      9      1      2      7      4      9      1
Vardas209           Pavardė209         9      5      7      8      8      2      1      7      9      8      6      7      3      6      10     8
Vardas210           Pavardė210         9      8      8      2      2      3      3      5      4      9      10     10     9      7      10     9
Vardas211           Pavardė211         9      7      9      10     3      7      4      4      7      8      3      9      5      4      8      9
Vardas212           Pavardė212         4      8      8      6      6      6      2      1      6      10     10     9      2      5      10     9
Vardas213           Pavardė213         9      6      1      7      4      10     8      3      9      2      5      5      8      2      7      2
Vardas214           Pavardė214         9      10     10     1      8      6      8      5      1      5      7      4      9      2      6      7
Vardas215           Pavardė215         2      6      8      8      7      5      5      4      7      8      6      4      8      8      10     10
Vardas216           Pavardė216         4      5      5      8      6      4      2      1      9      5      2      1      7      1      5      7
Vardas217           Pavardė217         4      10     2      6      5      2      5      6      6      1      4      2      7      7      2      5
Vardas218           Pavardė218         9      1      2      5      1      3      1      4      10     7      4      3      1      5      8      4
Vardas219           Pavardė219         10     8      7      7      6      6      2      4      9      9      7      2      2      1      1      7
Vardas220           Pavardė220         9      10     1      4      9      9      4      3      2      6      1      7      8      6      2      3
Vardas221           Pavardė221         1      1      7      5      6      5      4      8      1      3      3      8      3      8      3      3
Vardas222           Pavardė222         8      9      3      2      5      9      5      1      6      10     1      7      1      6      10     7
Vardas223           Pavardė223         4      1      2      8      2      4      7      3      7      6      3      10     9      1      5      4
Vardas224           Pavardė224         8      7      6      5      2      9      4      1      10     3      1      3      2      8      9      7
Vardas225           Pavardė225         3      10     1      1      5      4      4      7      4      6      9      3      6      1      3      7
Vardas226           Pavardė226         6      6      7      9      1      3      6      10     6      3      10     6      4      2      5      2
Vardas227           Pavardė227         3      2      10     6      8      2      7      1      2      4      3      8      4      4      1      2
Vardas228           Pavardė228         5      5      1      6      4      4      4      6      2      5      5      10     6      7      7      5
Vardas229           Pavardė229         9      10     4      5      1      10     4      3      8      6      2      7      3      4      8      9
Vardas230           Pavardė230         3      1      9      4      7      10     1      1      9      8      2      5      9      8      8      4
Vardas231           Pavardė231         7      1      9      4      1      7      3      6      7      7      8      3      3      4      5      1
Vardas232           Pavardė232         6      7      10     4      9      4      7      1      7      5      4      9      3      7      3      3
Vardas233           Pavardė233         7      8      2      10     3      2      9      7      8      4      4      2      4      4      3      7
Vardas234           Pavardė234         9      9      6      4      3      7      6      2      10     9      4      7      7      5      9      1
Vardas235           Pavardė235         4      6      2      10     1      7      7      9      3      4      9      10     7      3      2      3
Vardas236           Pavardė236         10     8      1      5      9      1      7      6      9      2      1      9      1      2      8      2
Vardas237           Pavardė237         1      7      3      9      5      8      6      10     9      6      7      2      7      10     3      5
Vardas238           Pavardė238         10     7      9      7      10     1      9      10     10     6      7      8      5      7      5      5
Vardas239           Pavardė239         7      7      7      9      8      8      10     5      3      7      9      3      6      7      7      1
Vardas240           Pavardė240         9      8      9      7      7      1      7      1      10     9      5      7      5      7      8      9
Vardas241           Pavardė241         3      3      6      6      9      3      8      10     10     1      4      2      9      7      2      4
Vardas242           Pavardė242         7      7      3      1      3      10     9      2      6      4      7      4      6      1      5      6
Vardas243           Pavardė243         9      8      4      9      3      7      5      1      7      7      9      1      1      7      9      9
Vardas244           Pavardė244         10     1      9      5      2      4      6      7      1      4      9      3      6      9      7      10
Vardas245           Pavardė245         6      3      9      1      1      6      8      10     9      2      6      5      2      4      10     7
Vardas246           Pavardė246         9      1      4      6      3      8      4      3      3      3      9      4      6      9      4      8
Vardas247           Pavardė247         8      8      9      2      5      9      6      9      8      5      10     5      1      6      2      6
Vardas248           Pavardė248         7      10     6      6      5      1      5      5      8      8      2      8      5      10     4      1
Vardas249           Pavardė249         2      3      3      9      7      7      1      4      4      3      5      2      1      3      9      9
Vardas250           Pavardė250         2      10     1      4      9      8      1      7      3      3      9      2      10     6      8      6
Vardas251           Pavardė251         5      10     5      2      7      10     1      2      4      5      7      9      1      4      7      10
Vardas252           Pavardė252         6      6      6      1      6      2      7      9      8      4      4      1      8      9      2      4
Vardas253           Pavardė253         10     8      1      9      7      3      4      10     7      1      7      7      5      2      6      5
Vardas254           Pavardė254         7      8      6      4      2      9      8      9      6      9      10     5      9      5      8      1
Vardas255           Pavardė255         8      3      7      8      7      5      5      1      1      4      9      7      3      3      2      1
Vardas256           Pavardė256         7      6      10     7      4      1      1      6      5      9      6      7      6      8      3      1
Vardas257           Pavardė257         10     4      2      9      7      3      6      3      6      4      2      4      6      6      2      8
Vardas258           Pavardė258         2      2      3      6      3      8      7      4      10     3      1      10     5      1      5      9
Vardas259           Pavardė259         7      7      7      2      1      1      9      10     7      5      10     4      1      6      3      7
Vardas260           Pavardė260         4      1      1      3      1      1      6      3      2      9      5      9      4      7      5      3
Vardas261           Pavardė261         7      8      3      6      5      10     10     4      7      4      9      8      1      10     7      4
Vardas262           Pavardė262         6      7      2      5      4      6      3      3      1      2      1      3      8      1      6      1
Vardas263           Pavardė263         6      5      1      5      4      1      6      7      9      6      4      8      4      10     6      4
Vardas264           Pavardė264         9      10     10     5      2      4      5      3      2      5      4      3      7      2      1      9
Vardas265           Pavardė265         9      8      10     1      8      10     3      3      2      10     8      4      1      6      8      2
Vardas266           Pavardė266         6      7      4      4      9      9      7      8      5      2      5      7      10     8      2      3
Vardas267           Pavardė267         3      6      3      7      9      9      1      2      6      3      3      9      1      6      9      1
Vardas268           Pavardė268         1      3      10     5      4      10     10     10     8      4      2      10     1      10     3      8
Vardas269           Pavardė269         3      3      8      5      6      1      5      10     8      3      5      4      1      5      4      8
Vardas270           Pavardė270         2      1      1      4      7      5      3      6      3      4      2      5      8      10     5      4
Vardas271           Pavardė271         7      8      8      8      5      10     4      5      8      2      7      8      5      5      6      4
Vardas272           Pavardė272         10     8      4      9      10     6      4      7      10     10     10     6      2      2      10     6
Vardas273           Pavardė273         8      4      7      10     3      2      1      8      10     1      5      7      1      8      5      10
Vardas274           Pavardė274         10     4      4      8      4      1      7      5      5      5      8      6      7      6      10     7
Vardas275           Pavardė275         8      6      5      2      5      9      6      6      2      5      7      4      9      5      3      1
Vardas276           Pavardė276         10     2      9      9      8      5      9      4      8      10     10     4      5      2      9      2
Vardas277           Pavardė277         5      1      6      9      7      9      2      2      1      10     1      3      5      5      4      9
Vardas278           Pavardė278         1      10     9      4      3      1      2      1      1      8      5      5      4      5      2      6
Vardas279           Pavardė279         2      8      9      6      4      8      5      5      4      9      3      10     2      9      10     10
Vardas280           Pavardė280         2      2      7      4      9      7      3      3      7      4      6      8      8      7      4      8
Vardas281           Pavardė281         9      5      2      9      2      2      1      5      4      5      7      2      3      8      5      9
Vardas282           Pavardė282         10     5      6      1      1      4      9      4      2      5      1      8      9      7      2      7
Vardas283           Pavardė283         10     1      3      10     2      6      7      2      1      7      10     9      10     3      1      10
Vardas284           Pavardė284         3      8      6      6      7      9      10     2      5      9      10     4      8      9      7      2
Vardas285           Pavardė285         2      6      9      4      10     2      1      8      3      10     9      1      10     6      4      2
Vardas286           Pavardė286         1      10     2      6      10     6      9      2      4      7      8      5      2      10     7      5
Vardas287           Pavardė287         4      7      9      9      10     6      10     4      2      10     9      6      5      9      5      8
Vardas288           Pavardė288         2      8      1      3      2      6      2      5      10     9      1      5      10     3      10     3
Vardas289           Pavardė289         4      7      4      10     2      5      4      1      7      10     3      8      9      7      3      2
Vardas290           Pavardė290         8      7      1      10     10     10     3      9      5      3      3      5      5      2      8      4
Vardas291           Pavardė291         3      8      4      9      10     5      2      9      7      2      7      10     3      7      7      4
Vardas292           Pavardė292         1      10     3      5      9      9      6      8      7      1      1      7      3      10     5      3
Vardas293           Pavardė293         8      6      8      2      3      5      9      2      1      8      7      5      10     5      8      4
Vardas294           Pavardė294         10     8      3      9      7      2      1      10     9      1      9      10     7      3      3      2
Vardas295           Pavardė295         8      3      5      4      4      7      5      10     4      7      7      3      3      2      1      7
Vardas296           Pavardė296         9      5      2      2      7      6      8      8      6      10     4      4      2      3      4      7
Vardas297           Pavardė297         1      7      7      5      10     5      9      9      8      1      3      1      5      10     9      1
Vardas298           Pavardė298         5      6      1      4      9      6      9      3      2      5      4      1      4      8      8      5
Vardas299           Pavardė299         8      10     3      6      7      3      10     6      4      5      6      5      10     9      8      5
Vardas300           Pavardė300         10     6      8      5      3      7      4      6      8      7      3      2      8      6      3      7
Vardas301           Pavardė301         5      6      7      2      1      3      4      5      6      8      5      6      2      9      10     1
Vardas302           Pavardė302         9      1      5      2      9      10     8      10     6      9      9      1      10     9      8      4
Vardas303           Pavardė303         6      5      7      2      8      6      4      3      4      6      3      9      6      8      5      5
Vardas304           Pavardė304         5      2      6      5      3      10     2      10     1      9      2      3      9      9      4      8
Vardas305           Pavardė305         1      4      6      1      9      9      2      6      4      3      10     8      7      7      9      2
