Vardas              Pavardė       Galutinis (Vid.)    
Vardas370           Pavardė370     3.77
Vardas677           Pavardė677     3.77
Vardas470           Pavardė470     3.80
Vardas434           Pavardė434     3.80
Vardas687           Pavardė687     3.80
Vardas355           Pavardė355     3.80
Vardas796           Pavardė796     3.80
Vardas898           Pavardė898     3.80
Vardas484           Pavardė484     3.81
Vardas247           Pavardė247     3.83
Vardas134           Pavardė134     3.84
Vardas531           Pavardė531     3.85
Vardas947           Pavardė947     3.85
Vardas511           Pavardė511     3.85
Vardas669           Pavardė669     3.88
Vardas456           Pavardė456     3.88
Vardas182           Pavardė182     3.88
Vardas473           Pavardė473     3.88
Vardas13            Pavardė13      3.88
Vardas715           Pavardė715     3.91
Vardas178           Pavardė178     3.91
Vardas452           Pavardė452     3.91
Vardas814           Pavardė814     3.91
Vardas525           Pavardė525     3.91
Vardas840           Pavardė840     3.92
Vardas621           Pavardė621     3.93
Vardas30            Pavardė30      3.93
Vardas482           Pavardė482     3.93
Vardas888           Pavardė888     3.96
Vardas437           Pavardė437     3.96
Vardas399           Pavardė399     3.96
Vardas680           Pavardė680     3.96
Vardas382           Pavardė382     3.96
Vardas630           Pavardė630     3.96
Vardas430           Pavardė430     3.96
Vardas666           Pavardė666     3.96
Vardas821           Pavardė821     3.96
Vardas410           Pavardė410     3.96
Vardas980           Pavardė980     3.96
Vardas558           Pavardė558     3.97
Vardas47            Pavardė47      3.99
Vardas603           Pavardė603     3.99
Vardas36            Pavardė36      3.99
Vardas181           Pavardė181     3.99
Vardas226           Pavardė226     3.99
Vardas18            Pavardė18      4.00
Vardas363           Pavardė363     4.00
Vardas509           Pavardė509     4.03
Vardas971           Pavardė971     4.04
Vardas295           Pavardė295     4.07
Vardas936           Pavardė936     4.07
Vardas881           Pavardė881     4.07
Vardas653           Pavardė653     4.07
Vardas777           Pavardė777     4.08
Vardas958           Pavardė958     4.09
Vardas351           Pavardė351     4.09
Vardas870           Pavardė870     4.09
Vardas459           Pavardė459     4.11
Vardas310           Pavardė310     4.12
Vardas955           Pavardė955     4.12
Vardas844           Pavardė844     4.12
Vardas369           Pavardė369     4.15
Vardas99            Pavardė99      4.15
Vardas253           Pavardė253     4.15
Vardas147           Pavardė147     4.15
Vardas832           Pavardė832     4.16
Vardas80            Pavardė80      4.16
Vardas933           Pavardė933     4.17
Vardas406           Pavardė406     4.17
Vardas589           Pavardė589     4.19
Vardas469           Pavardė469     4.20
Vardas95            Pavardė95      4.20
Vardas792           Pavardė792     4.20
Vardas743           Pavardė743     4.20
Vardas451           Pavardė451     4.20
Vardas372           Pavardė372     4.21
Vardas75            Pavardė75      4.21
Vardas861           Pavardė861     4.21
Vardas191           Pavardė191     4.21
Vardas292           Pavardė292     4.23
Vardas172           Pavardė172     4.23
Vardas53            Pavardė53      4.24
Vardas390           Pavardė390     4.25
Vardas317           Pavardė317     4.25
Vardas513           Pavardė513     4.25
Vardas180           Pavardė180     4.27
Vardas143           Pavardė143     4.28
Vardas797           Pavardė797     4.29
Vardas642           Pavardė642     4.29
Vardas902           Pavardė902     4.29
Vardas423           Pavardė423     4.29
Vardas986           Pavardė986     4.31
Vardas875           Pavardė875     4.32
Vardas664           Pavardė664     4.32
Vardas250           Pavardė250     4.32
Vardas945           Pavardė945     4.32
Vardas152           Pavardė152     4.33
Vardas586           Pavardė586     4.35
Vardas705           Pavardė705     4.36
Vardas467           Pavardė467     4.36
Vardas983           Pavardė983     4.36
Vardas300           Pavardė300     4.37
Vardas289           Pavardė289     4.37
Vardas142           Pavardė142     4.37
Vardas183           Pavardė183     4.39
Vardas304           Pavardė304     4.39
Vardas903           Pavardė903     4.40
Vardas103           Pavardė103     4.41
Vardas548           Pavardė548     4.41
Vardas907           Pavardė907     4.43
Vardas962           Pavardė962     4.43
Vardas328           Pavardė328     4.43
Vardas273           Pavardė273     4.45
Vardas801           Pavardė801     4.45
Vardas211           Pavardė211     4.45
Vardas386           Pavardė386     4.45
Vardas822           Pavardė822     4.45
Vardas506           Pavardė506     4.45
Vardas857           Pavardė857     4.45
Vardas918           Pavardė918     4.47
Vardas417           Pavardė417     4.48
Vardas398           Pavardė398     4.48
Vardas238           Pavardė238     4.48
Vardas799           Pavardė799     4.51
Vardas98            Pavardė98      4.51
Vardas15            Pavardė15      4.51
Vardas377           Pavardė377     4.53
Vardas926           Pavardė926     4.56
Vardas163           Pavardė163     4.56
Vardas507           Pavardė507     4.56
Vardas272           Pavardė272     4.56
Vardas359           Pavardė359     4.56
Vardas154           Pavardė154     4.59
Vardas850           Pavardė850     4.59
Vardas476           Pavardė476     4.59
Vardas475           Pavardė475     4.59
Vardas795           Pavardė795     4.59
Vardas419           Pavardė419     4.60
Vardas92            Pavardė92      4.61
Vardas286           Pavardė286     4.61
Vardas779           Pavardė779     4.61
Vardas414           Pavardė414     4.61
Vardas160           Pavardė160     4.64
Vardas567           Pavardė567     4.67
Vardas161           Pavardė161     4.67
Vardas137           Pavardė137     4.67
Vardas71            Pavardė71      4.67
Vardas48            Pavardė48      4.67
Vardas561           Pavardė561     4.68
Vardas31            Pavardė31      4.69
Vardas114           Pavardė114     4.71
Vardas786           Pavardė786     4.71
Vardas599           Pavardė599     4.72
Vardas157           Pavardė157     4.72
Vardas57            Pavardė57      4.72
Vardas132           Pavardė132     4.72
Vardas3             Pavardė3       4.73
Vardas425           Pavardė425     4.75
Vardas969           Pavardė969     4.75
Vardas878           Pavardė878     4.77
Vardas190           Pavardė190     4.77
Vardas113           Pavardė113     4.77
Vardas254           Pavardė254     4.77
Vardas606           Pavardė606     4.77
Vardas407           Pavardė407     4.79
Vardas455           Pavardė455     4.80
Vardas736           Pavardė736     4.80
Vardas173           Pavardė173     4.80
Vardas43            Pavardė43      4.80
Vardas728           Pavardė728     4.81
Vardas240           Pavardė240     4.81
Vardas146           Pavardė146     4.83
Vardas877           Pavardė877     4.83
Vardas536           Pavardė536     4.83
Vardas667           Pavardė667     4.83
Vardas732           Pavardė732     4.84
Vardas110           Pavardė110     4.85
Vardas726           Pavardė726     4.85
Vardas229           Pavardė229     4.85
Vardas989           Pavardė989     4.87
Vardas155           Pavardė155     4.88
Vardas204           Pavardė204     4.88
Vardas485           Pavardė485     4.88
Vardas90            Pavardė90      4.88
Vardas538           Pavardė538     4.89
Vardas350           Pavardė350     4.89
Vardas862           Pavardė862     4.91
Vardas899           Pavardė899     4.91
Vardas585           Pavardė585     4.92
Vardas488           Pavardė488     4.93
Vardas912           Pavardė912     4.95
Vardas38            Pavardė38      4.95
Vardas673           Pavardė673     4.95
Vardas647           Pavardė647     4.96
Vardas201           Pavardė201     4.96
Vardas633           Pavardė633     4.96
Vardas218           Pavardė218     4.97
Vardas443           Pavardė443     4.97
Vardas427           Pavardė427     4.99
