Vardas              Pavardė            ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   ND11   ND12   ND13   ND14   ND15   Egz.
Vardas151           Pavardė151         2      8      3      2      6      9      7      1      1      3      2      8      4      6      6      2
Vardas152           Pavardė152         7      6      4      10     7      2      5      2      3      9      2      9      5      1      10     6
Vardas153           Pavardė153         9      2      6      4      8      7      4      10     8      9      6      6      4      4      4      10
Vardas154           Pavardė154         4      7      2      1      7      6      5      1      4      6      8      6      1      7      3      5
Vardas155           Pavardė155         6      7      1      9      8      2      2      2      6      4      1      10     9      2      1      8
Vardas156           Pavardė156         9      6      6      9      9      3      10     8      6      7      4      6      5      10     2      3
Vardas157           Pavardė157         1      9      6      9      5      7      4      1      3      6      8      4      3      10     4      3
Vardas158           Pavardė158         2      10     1      1      9      2      4      5      7      9      8      8      7      9      2      5
Vardas159           Pavardė159         10     7      5      8      9      3      5      4      5      4      4      5      8      9      7      7
Vardas160           Pavardė160         4      7      9      8      8      3      8      6      10     2      3      10     10     1      4      4
Vardas161           Pavardė161         3      5      4      8      1      3      5      1      7      4      10     1      2      7      2      5
Vardas162           Pavardė162         6      9      10     2      4      7      6      5      5      6      7      5      4      3      10     1
Vardas163           Pavardė163         1      6      3      7      10     10     5      2      7      2      10     8      3      2      10     10
Vardas164           Pavardė164         10     1      10     5      2      7      9      8      2      9      9      5      4      3      7      1
Vardas165           Pavardė165         2      3      6      1      6      2      6      4      4      1      2      9      1      4      3      2
Vardas166           Pavardė166         3      2      10     4      10     7      3      4      9      9      2      2      7      7      2      2
Vardas167           Pavardė167         10     8      7      8      2      8      1      8      8      2      10     2      2      2      1      5
Vardas168           Pavardė168         5      7      2      8      3      9      8      3      1      3      2      5      3      4      5      7
Vardas169           Pavardė169         1      8      6      6      7      8      1      3      7      7      2      6      8      4      5      5
Vardas170           Pavardė170         7      7      7      8      9      6      5      3      2      8      5      6      5      7      10     10
Vardas171           Pavardė171         8      6      4      3      4      3      9      1      8      10     3      3      2      9      7      6
Vardas172           Pavardė172         2      4      10     1      8      4      7      3      9      8      8      1      8      1      2      1
Vardas173           Pavardė173         3      6      6      4      9      7      9      5      10     2      1      3      10     8      4      6
Vardas174           Pavardė174         8      8      2      10     7      4      7      5      8      6      3      10     1      7      2      3
Vardas175           Pavardė175         7      8      2      7      10     9      2      8      2      9      8      2      9      7      8      9
Vardas176           Pavardė176         7      2      7      6      4      1      4      7      6      5      7      10     1      7      1      1
Vardas177           Pavardė177         7      1      2      8      7      9      6      7      7      1      10     6      8      5      7      9
Vardas178           Pavardė178         1      6      8      5      10     3      5      4      8      8      6      6      7      9      6      10
Vardas179           Pavardė179         6      4      10     3      7      10     8      3      10     9      7      7      3      10     4      7
Vardas180           Pavardė180         1      8      5      3      10     9      2      4      10     7      8      5      3      7      2      6
Vardas181           Pavardė181         8      4      8      1      6      3      8      3      1      6      1      10     8      4      8      1
Vardas182           Pavardė182         6      5      7      7      7      9      8      2      5      2      9      9      2      7      2      9
Vardas183           Pavardė183         1      8      9      9      5      2      8      9      9      4      3      1      5      2      9      3
Vardas184           Pavardė184         7      4      2      4      4      5      10     4      8      9      5      1      2      9      9      3
Vardas185           Pavardė185         2      5      4      7      1      10     9      5      10     2      7      7      1      4      6      9
Vardas186           Pavardė186         7      9      2      1      5      2      1      1      2      4      7      3      8      4      4      10
Vardas187           Pavardė187         9      10     3      5      3      7      10     5      3      4      3      6      7      8      4      8
Vardas188           Pavardė188         7      7      4      10     3      9      8      4      5      6      9      4      1      4      9      3
Vardas189           Pavardė189         1      8      5      7      3      10     7      7      3      2      1      2      10     1      1      10
Vardas190           Pavardė190         6      3      4      2      8      1      7      7      3      6      6      10     2      8      10     1
Vardas191           Pavardė191         7      1      5      2      4      4      10     8      9      3      3      2      1      3      3      2
Vardas192           Pavardė192         5      3      1      10     3      9      3      5      4      2      2      5      8      7      6      5
Vardas193           Pavardė193         7      3      1      2      3      9      6      6      4      7      3      5      6      5      4      6
Vardas194           Pavardė194         2      7      4      7      2      4      2      10     2      8      5      4      9      4      10     2
Vardas195           Pavardė195         8      10     9      3      10     7      8      5      1      2      4      6      4      2      7      4
Vardas196           Pavardė196         2      2      4      4      3      8      1      9      2      3      3      5      4      6      3      9
Vardas197           Pavardė197         5      5      5      7      9      2      9      8      6      1      7      2      5      8      2      5
Vardas198           Pavardė198         7      6      4      5      5      2      9      2      7      9      7      10     9      8      8      8
Vardas199           Pavardė199         1      6      10     2      9      9      10     7      9      6      1      4      9      5      7      3
Vardas200           Pavardė200         6      5      10     9      8      4      9      7      9      4      3      4      5      8      8      10
Vardas201           Pavardė201         10     3      5      3      8      10     8      7      3      5      7      4      5      6      9      3
Vardas202           Pavardė202         3      8      4      5      1      8      3      7      4      8      3      9      3      7      1      8
Vardas203           Pavardė203         1      6      6      6      1      5      5      3      4      8      6      10     5      2      2      4
Vardas204           Pavardė204         10     3      6      9      7      1      2      1      3      1      3      1      1      10     1      9
Vardas205           Pavardė205         7      1      9      9      5      3      9      5      2      2      7      8      9      5      4      9
Vardas206           Pavardė206         7      3      4      9      3      5      3      4      8      7      6      7      6      9      5      3
Vardas207           Pavardė207         4      9      9      5      7      7      2      1      10     3      10     5      3      6      9      5
Vardas208           Pavardė208         2      6      5      1      10     10     9      10     5      7      9      10     5      7      2      6
Vardas209           Pavardė209         7      9      5      4      1      3      9      9      7      5      6      7      8      3      1      7
Vardas210           Pavardė210         10     10     10     7      6      8      6      2      6      3      9      2      5      5      10     9
Vardas211           Pavardė211         10     5      9      9      2      9      7      7      3      3      7      4      9      10     8      8
Vardas212           Pavardė212         5      7      5      1      8      6      10     10     1      9      3      9      7      4      5      4
Vardas213           Pavardė213         6      6      5      8      5      10     2      9      5      5      8      9      6      3      3      8
Vardas214           Pavardė214         1      6      8      2      7      1      8      6      7      8      9      5      3      8      5      10
Vardas215           Pavardė215         7      9      2      10     10     4      4      7      9      4      5      7      4      2      10     1
Vardas216           Pavardė216         3      5      1      9      5      6      4      6      9      1      7      1      10     5      7      10
Vardas217           Pavardė217         9      5      8      10     9      4      8      6      5      4      10     9      4      5      10     8
Vardas218           Pavardė218         10     8      2      4      10     1      7      8      8      7      8      7      4      10     6      9
Vardas219           Pavardė219         4      6      10     4      7      10     3      6      9      6      9      2      8      3      1      10
Vardas220           Pavardė220         7      7      1      9      9      1      1      3      8      2      3      3      3      2      3      2
Vardas221           Pavardė221         9      2      3      5      6      9      3      7      7      10     3      9      4      8      7      6
Vardas222           Pavardė222         2      8      4      5      8      6      1      9      7      4      8      7      7      6      9      9
Vardas223           Pavardė223         1      4      6      5      8      10     7      2      10     9      6      5      7      3      7      7
Vardas224           Pavardė224         10     10     10     7      1      7      3      7      4      3      6      3      8      8      8      9
Vardas225           Pavardė225         6      8      7      4      7      7      9      6      8      6      7      10     3      7      8      2
Vardas226           Pavardė226         8      4      3      5      10     3      4      3      1      7      10     1      9      3      5      6
Vardas227           Pavardė227         5      7      9      2      10     10     5      8      4      7      9      5      7      6      6      6
Vardas228           Pavardė228         5      8      3      7      8      10     2      4      8      3      6      2      1      8      1      1
Vardas229           Pavardė229         7      3      9      9      4      1      2      9      6      3      2      10     10     6      9      8
Vardas230           Pavardė230         7      2      6      9      7      5      5      2      4      9      3      3      5      2      10     5
Vardas231           Pavardė231         6      5      9      5      10     7      2      1      5      1      1      1      2      1      7      8
Vardas232           Pavardė232         7      2      4      8      9      4      2      4      2      2      9      4      3      1      8      5
Vardas233           Pavardė233         3      5      6      2      9      2      6      7      4      3      9      3      10     8      8      9
Vardas234           Pavardė234         2      5      1      3      3      3      1      1      8      10     8      1      3      10     3      10
Vardas235           Pavardė235         6      10     9      7      2      9      10     5      2      1      10     10     2      5      3      5
Vardas236           Pavardė236         9      10     6      8      9      4      10     3      9      2      9      8      8      1      9      6
Vardas237           Pavardė237         1      2      7      7      3      2      8      2      7      5      2      7      9      4      8      1
Vardas238           Pavardė238         1      6      7      2      3      4      6      4      6      3      9      3      2      2      3      5
Vardas239           Pavardė239         2      1      5      7      6      5      6      6      3      1      7      10     1      5      8      7
Vardas240           Pavardė240         10     7      8      10     1      6      4      8      4      3      9      7      10     10     8      2
Vardas241           Pavardė241         8      6      7      9      5      9      8      3      5      7      2      5      8      10     5      5
Vardas242           Pavardė242         8      7      3      3      1      10     7      1      1      4      10     1      10     7      4      6
Vardas243           Pavardė243         9      10     3      6      3      8      4      4      9      8      8      5      1      2      10     9
Vardas244           Pavardė244         1      8      8      4      2      8      4      7      10     1      5      2      8      7      4      7
Vardas245           Pavardė245         4      6      5      8      6      8      2      9      9      4      1      5      7      4      9      1
Vardas246           Pavardė246         9      7      1      9      4      1      3      3      4      3      4      3      5      8      7      6
Vardas247           Pavardė247         2      5      2      4      3      10     7      10     3      5      1      3      2      1      7      4
Vardas248           Pavardė248         3      6      1      3      7      4      6      5      3      10     3      7      3      10     9      8
Vardas249           Pavardė249         8      1      8      4      7      7      6      6      4      6      8      2      1      9      1      7
Vardas250           Pavardė250         5      1      7      3      5      2      5      7      2      8      7      5      4      4      10     7
Vardas251           Pavardė251         4      10     5      1      10     8      5      4      1      2      5      2      1      7      9      4
Vardas252           Pavardė252         8      9      6      2      6      7      8      4      2      1      10     9      3      9      7      4
Vardas253           Pavardė253         10     10     6      5      9      2      2      6      1      5      5      10     7      5      2      10
Vardas254           Pavardė254         8      6      7      8      2      3      8      2      10     9      8      5      3      10     10     8
Vardas255           Pavardė255         7      7      2      3      2      7      2      2      7      5      9      4      9      1      7      9
Vardas256           Pavardė256         1      7      9      8      2      5      6      10     4      6      3      3      9      3      9      5
Vardas257           Pavardė257         3      1      1      2      3      2      7      3      4      8      9      9      4      2      9      3
Vardas258           Pavardė258         1      7      5      3      1      9      5      1      5      2      10     1      10     1      4      6
Vardas259           Pavardė259         4      9      10     4      1      1      5      7      3      9      1      5      6      8      7      7
Vardas260           Pavardė260         6      5      8      8      10     8      4      7      3      8      8      6      10     1      9      7
Vardas261           Pavardė261         7      3      7      8      7      1      4      6      8      10     3      5      1      6      2      5
Vardas262           Pavardė262         3      6      4      3      2      4      1      5      7      4      8      3      4      2      8      2
Vardas263           Pavardė263         3      4      3      3      9      2      2      2      1      5      9      9      9      8      1      9
Vardas264           Pavardė264         5      8      7      2      4      3      7      2      10     6      3      4      7      10     8      6
Vardas265           Pavardė265         8      4      9      6      3      6      9      3      6      6      3      8      7      5      8      4
Vardas266           Pavardė266         9      1      9      1      7      2      6      10     3      9      1      1      9      3      4      2
Vardas267           Pavardė267         4      6      2      5      1      5      10     1      9      8      8      1      4      2      1      10
Vardas268           Pavardė268         8      10     2      2      9      7      3      9      5      4      7      10     2      8      9      9
Vardas269           Pavardė269         10     10     3      7      2      6      9      1      10     10     7      2      4      5      10     7
Vardas270           Pavardė270         7      4      1      10     2      7      6      6      10     7      1      1      9      9      4      2
Vardas271           Pavardė271         9      10     1      1      1      6      3      5      10     5      10     4      3      7      5      1
Vardas272           Pavardė272         2      10     9      4      10     2      2      8      9      10     8      10     4      10     9      6
Vardas273           Pavardė273         3      10     7      9      7      8      3      1      2      1      10     5      3      4      2      4
Vardas274           Pavardė274         8      10     7      9      10     1      1      4      5      9      8      5      6      8      9      4
Vardas275           Pavardė275         2      3      10     9      7      8      5      1      8      5      9      7      10     8      3      3
Vardas276           Pavardė276         4      7      8      7      4      4      2      9      4      4      4      9      10     5      8      8
Vardas277           Pavardė277         10     3      1      6      1      1      3      6      6      6      7      10     4      1      10     9
Vardas278           Pavardė278         2      3      9      3      2      3      4      7      3      6      3      3      7      3      8      8
Vardas279           Pavardė279         3      1      3      3      4      7      2      10     5      8      3      8      6      10     8      1
Vardas280           Pavardė280         3      2      7      3      3      10     6      1      5      2      3      8      4      1      2      8
Vardas281           Pavardė281         4      3      8      5      4      7      1      3      10     1      10     7      6      3      9      7
Vardas282           Pavardė282         8      4      6      5      8      7      1      9      10     8      5      9      4      5      3      2
Vardas283           Pavardė283         3      8      10     10     10     4      4      4      6      3      2      10     8      4      1      10
Vardas284           Pavardė284         7      2      8      4      9      6      10     4      6      8      6      9      1      1      3      6
Vardas285           Pavardė285         10     1      1      4      6      8      5      1      9      10     10     10     3      7      8      4
Vardas286           Pavardė286         6      7      3      2      2      1      4      1      1      3      4      7      3      10     7      3
Vardas287           Pavardė287         6      6      10     10     7      3      8      6      1      8      8      2      8      5      1      7
Vardas288           Pavardė288         8      5      5      7      4      5      6      1      3      6      4      4      6      9      5      1
Vardas289           Pavardė289         9      5      4      10     10     6      1      4      9      5      10     1      4      2      8      7
Vardas290           Pavardė290         4      6      8      2      9      3      1      5      9      2      1      7      5      3      9      6
Vardas291           Pavardė291         8      2      6      2      8      6      8      4      4      4      1      2      8      3      5      1
Vardas292           Pavardė292         2      4      6      10     9      3      1      3      9      4      4      8      10     2      3      7
Vardas293           Pavardė293         5      9      6      3      2      7      9      8      3      8      9      8      2      7      5      2
Vardas294           Pavardė294         5      5      8      6      9      1      10     10     4      3      4      3      4      8      2      7
Vardas295           Pavardė295         4      2      9      10     3      4      6      5      2      4      5      4      8      3      4      7
Vardas296           Pavardė296         10     6      3      10     4      5      5      7      1      1      6      5      1      4      4      2
Vardas297           Pavardė297         8      9      7      5      1      1      1      1      4      2      7      4      5      1      10     10
Vardas298           Pavardė298         3      9      3      3      9      7      1      6      9      4      7      9      5      2      5      2
Vardas299           Pavardė299         3      2      9      3      6      3      1      6      3      3      2      5      6      4      8      1
Vardas300           Pavardė300         5      9      7      10     4      10     9      2      9      10     7      4      6      5      9      6
Vardas301           Pavardė301         10     6      8      4      1      10     3      5      5      4      8      1      2      9      2      5
Vardas302           Pavardė302         4      4      8      1      5      9      3      2      10     5      8      4      10     4      4      10
Vardas303           Pavardė303         2      2      5      6      1      3      9      8      7      1      8      9      7      4      6      5
Vardas304           Pavardė304         4      2      1      9      10     4      7      7      8      6      10     2      6      8      4      9
Vardas305           Pavardė305         7      10     4      7      6      10     7      2      5      6      8      6      2      4      8      5
Vardas306           Pavardė306         10     1      9      7      3      9      3      3      2      10     10     3      4      3      7      10
Vardas307           Pavardė307         10     1      7      2      8      6      9      2      6      2      6      8      4      7      5      10
