Vardas              Pavardė       Galutinis (Vid.)    
Vardas465           Pavardė465     6.11
Vardas92            Pavardė92      6.12
Vardas782           Pavardė782     6.12
Vardas710           Pavardė710     6.12
Vardas543           Pavardė543     6.13
Vardas826           Pavardė826     6.15
Vardas264           Pavardė264     6.16
Vardas454           Pavardė454     6.17
Vardas829           Pavardė829     6.19
Vardas718           Pavardė718     6.19
Vardas659           Pavardė659     6.19
Vardas959           Pavardė959     6.19
Vardas916           Pavardė916     6.20
Vardas875           Pavardė875     6.20
Vardas415           Pavardė415     6.21
Vardas746           Pavardė746     6.21
Vardas654           Pavardė654     6.23
Vardas248           Pavardė248     6.23
Vardas608           Pavardė608     6.24
Vardas605           Pavardė605     6.24
Vardas929           Pavardė929     6.25
Vardas419           Pavardė419     6.25
Vardas888           Pavardė888     6.25
Vardas812           Pavardė812     6.28
Vardas127           Pavardė127     6.28
Vardas283           Pavardė283     6.29
Vardas42            Pavardė42      6.29
Vardas652           Pavardė652     6.31
Vardas987           Pavardė987     6.31
Vardas612           Pavardė612     6.31
Vardas528           Pavardė528     6.33
Vardas870           Pavardė870     6.33
Vardas735           Pavardė735     6.33
Vardas814           Pavardė814     6.33
Vardas707           Pavardė707     6.33
Vardas487           Pavardė487     6.36
Vardas904           Pavardė904     6.36
Vardas861           Pavardė861     6.36
Vardas82            Pavardė82      6.36
Vardas514           Pavardė514     6.36
Vardas285           Pavardė285     6.36
Vardas395           Pavardė395     6.36
Vardas945           Pavardė945     6.36
Vardas512           Pavardė512     6.37
Vardas698           Pavardė698     6.39
Vardas101           Pavardė101     6.39
Vardas293           Pavardė293     6.41
Vardas538           Pavardė538     6.41
Vardas787           Pavardė787     6.41
Vardas172           Pavardė172     6.43
Vardas1000          Pavardė1000    6.44
Vardas663           Pavardė663     6.44
Vardas252           Pavardė252     6.44
Vardas268           Pavardė268     6.44
Vardas288           Pavardė288     6.44
Vardas188           Pavardė188     6.44
Vardas22            Pavardė22      6.47
Vardas930           Pavardė930     6.47
Vardas460           Pavardė460     6.47
Vardas516           Pavardė516     6.49
Vardas7             Pavardė7       6.49
Vardas824           Pavardė824     6.51
Vardas183           Pavardė183     6.51
Vardas894           Pavardė894     6.51
Vardas233           Pavardė233     6.52
Vardas64            Pavardė64      6.52
Vardas247           Pavardė247     6.52
Vardas765           Pavardė765     6.53
Vardas880           Pavardė880     6.55
Vardas173           Pavardė173     6.55
Vardas426           Pavardė426     6.55
Vardas44            Pavardė44      6.56
Vardas783           Pavardė783     6.57
Vardas646           Pavardė646     6.57
Vardas649           Pavardė649     6.57
Vardas622           Pavardė622     6.57
Vardas701           Pavardė701     6.59
Vardas638           Pavardė638     6.59
Vardas381           Pavardė381     6.59
Vardas942           Pavardė942     6.59
Vardas209           Pavardė209     6.60
Vardas603           Pavardė603     6.60
Vardas895           Pavardė895     6.60
Vardas477           Pavardė477     6.60
Vardas552           Pavardė552     6.60
Vardas832           Pavardė832     6.61
Vardas549           Pavardė549     6.61
Vardas108           Pavardė108     6.63
Vardas704           Pavardė704     6.63
Vardas457           Pavardė457     6.63
Vardas240           Pavardė240     6.63
Vardas635           Pavardė635     6.63
Vardas332           Pavardė332     6.64
Vardas636           Pavardė636     6.65
Vardas432           Pavardė432     6.67
Vardas923           Pavardė923     6.67
Vardas229           Pavardė229     6.67
Vardas599           Pavardė599     6.67
Vardas869           Pavardė869     6.68
Vardas28            Pavardė28      6.68
Vardas20            Pavardė20      6.68
Vardas143           Pavardė143     6.68
Vardas849           Pavardė849     6.69
Vardas648           Pavardė648     6.69
Vardas176           Pavardė176     6.69
Vardas461           Pavardė461     6.69
Vardas798           Pavardė798     6.69
Vardas806           Pavardė806     6.71
Vardas630           Pavardė630     6.71
Vardas604           Pavardė604     6.71
Vardas928           Pavardė928     6.72
Vardas207           Pavardė207     6.72
Vardas21            Pavardė21      6.72
Vardas348           Pavardė348     6.73
Vardas120           Pavardė120     6.73
Vardas39            Pavardė39      6.75
Vardas72            Pavardė72      6.75
Vardas448           Pavardė448     6.75
Vardas53            Pavardė53      6.76
Vardas337           Pavardė337     6.76
Vardas105           Pavardė105     6.76
Vardas881           Pavardė881     6.77
Vardas205           Pavardė205     6.77
Vardas720           Pavardė720     6.77
Vardas723           Pavardė723     6.77
Vardas872           Pavardė872     6.79
Vardas990           Pavardė990     6.79
Vardas179           Pavardė179     6.80
Vardas178           Pavardė178     6.80
Vardas737           Pavardė737     6.80
Vardas350           Pavardė350     6.80
Vardas886           Pavardė886     6.80
Vardas385           Pavardė385     6.80
Vardas52            Pavardė52      6.81
Vardas674           Pavardė674     6.81
Vardas998           Pavardė998     6.83
Vardas382           Pavardė382     6.83
Vardas850           Pavardė850     6.83
Vardas589           Pavardė589     6.83
Vardas535           Pavardė535     6.83
Vardas187           Pavardė187     6.84
Vardas559           Pavardė559     6.85
Vardas546           Pavardė546     6.88
Vardas758           Pavardė758     6.88
Vardas882           Pavardė882     6.88
Vardas874           Pavardė874     6.88
Vardas957           Pavardė957     6.91
Vardas438           Pavardė438     6.91
Vardas289           Pavardė289     6.91
Vardas862           Pavardė862     6.91
Vardas854           Pavardė854     6.92
Vardas703           Pavardė703     6.92
Vardas308           Pavardė308     6.93
Vardas193           Pavardė193     6.93
Vardas551           Pavardė551     6.93
Vardas208           Pavardė208     6.93
Vardas525           Pavardė525     6.95
Vardas488           Pavardė488     6.95
Vardas979           Pavardė979     6.96
Vardas77            Pavardė77      6.96
Vardas956           Pavardė956     6.96
Vardas404           Pavardė404     6.97
Vardas775           Pavardė775     6.97
Vardas859           Pavardė859     6.99
Vardas146           Pavardė146     6.99
Vardas398           Pavardė398     6.99
Vardas855           Pavardė855     6.99
Vardas98            Pavardė98      7.00
Vardas660           Pavardė660     7.01
Vardas40            Pavardė40      7.01
Vardas865           Pavardė865     7.01
Vardas374           Pavardė374     7.01
Vardas6             Pavardė6       7.01
Vardas180           Pavardė180     7.01
Vardas686           Pavardė686     7.04
Vardas370           Pavardė370     7.04
Vardas355           Pavardė355     7.05
Vardas768           Pavardė768     7.05
Vardas469           Pavardė469     7.07
Vardas313           Pavardė313     7.07
Vardas190           Pavardė190     7.07
Vardas420           Pavardė420     7.07
Vardas74            Pavardė74      7.07
Vardas662           Pavardė662     7.07
Vardas994           Pavardė994     7.08
Vardas815           Pavardė815     7.09
Vardas866           Pavardė866     7.09
Vardas234           Pavardė234     7.09
Vardas892           Pavardė892     7.09
Vardas944           Pavardė944     7.11
Vardas833           Pavardė833     7.11
Vardas90            Pavardė90      7.12
Vardas336           Pavardė336     7.12
Vardas253           Pavardė253     7.12
Vardas449           Pavardė449     7.15
Vardas943           Pavardė943     7.15
Vardas838           Pavardė838     7.15
Vardas335           Pavardė335     7.16
Vardas463           Pavardė463     7.16
Vardas661           Pavardė661     7.17
Vardas317           Pavardė317     7.17
Vardas873           Pavardė873     7.17
Vardas580           Pavardė580     7.17
Vardas745           Pavardė745     7.19
Vardas847           Pavardė847     7.19
Vardas452           Pavardė452     7.19
Vardas803           Pavardė803     7.20
Vardas650           Pavardė650     7.20
Vardas242           Pavardė242     7.20
Vardas583           Pavardė583     7.20
Vardas637           Pavardė637     7.20
Vardas35            Pavardė35      7.21
Vardas519           Pavardė519     7.23
Vardas25            Pavardė25      7.23
Vardas271           Pavardė271     7.23
Vardas731           Pavardė731     7.23
Vardas560           Pavardė560     7.24
Vardas315           Pavardė315     7.24
Vardas287           Pavardė287     7.25
Vardas393           Pavardė393     7.25
Vardas835           Pavardė835     7.25
Vardas742           Pavardė742     7.27
Vardas4             Pavardė4       7.27
Vardas485           Pavardė485     7.27
Vardas388           Pavardė388     7.27
Vardas991           Pavardė991     7.28
Vardas12            Pavardė12      7.28
Vardas843           Pavardė843     7.29
Vardas66            Pavardė66      7.29
Vardas37            Pavardė37      7.29
Vardas804           Pavardė804     7.29
Vardas531           Pavardė531     7.29
Vardas503           Pavardė503     7.29
Vardas222           Pavardė222     7.29
Vardas236           Pavardė236     7.31
Vardas339           Pavardė339     7.31
Vardas922           Pavardė922     7.31
Vardas51            Pavardė51      7.31
Vardas570           Pavardė570     7.32
Vardas314           Pavardė314     7.33
Vardas134           Pavardė134     7.35
Vardas954           Pavardė954     7.36
Vardas231           Pavardė231     7.36
Vardas324           Pavardė324     7.36
Vardas669           Pavardė669     7.36
Vardas160           Pavardė160     7.37
Vardas338           Pavardė338     7.37
Vardas26            Pavardė26      7.39
Vardas993           Pavardė993     7.40
Vardas145           Pavardė145     7.40
Vardas526           Pavardė526     7.41
Vardas490           Pavardė490     7.43
Vardas87            Pavardė87      7.44
Vardas743           Pavardė743     7.44
Vardas717           Pavardė717     7.45
Vardas558           Pavardė558     7.45
Vardas744           Pavardė744     7.45
Vardas692           Pavardė692     7.45
Vardas489           Pavardė489     7.47
Vardas561           Pavardė561     7.48
Vardas10            Pavardė10      7.48
Vardas124           Pavardė124     7.48
Vardas159           Pavardė159     7.48
Vardas955           Pavardė955     7.48
Vardas429           Pavardė429     7.48
Vardas690           Pavardė690     7.49
Vardas529           Pavardė529     7.51
Vardas43            Pavardė43      7.51
Vardas163           Pavardė163     7.53
Vardas864           Pavardė864     7.55
Vardas645           Pavardė645     7.55
Vardas628           Pavardė628     7.56
Vardas298           Pavardė298     7.56
Vardas128           Pavardė128     7.56
Vardas876           Pavardė876     7.56
Vardas909           Pavardė909     7.57
Vardas320           Pavardė320     7.59
Vardas508           Pavardė508     7.59
Vardas712           Pavardė712     7.59
Vardas58            Pavardė58      7.59
Vardas186           Pavardė186     7.60
Vardas600           Pavardė600     7.60
Vardas154           Pavardė154     7.61
Vardas773           Pavardė773     7.61
Vardas267           Pavardė267     7.61
Vardas986           Pavardė986     7.61
Vardas258           Pavardė258     7.63
Vardas65            Pavardė65      7.64
Vardas421           Pavardė421     7.64
Vardas948           Pavardė948     7.64
Vardas135           Pavardė135     7.64
Vardas442           Pavardė442     7.65
Vardas109           Pavardė109     7.65
Vardas950           Pavardė950     7.65
Vardas980           Pavardė980     7.65
Vardas999           Pavardė999     7.67
Vardas203           Pavardė203     7.67
Vardas290           Pavardė290     7.67
Vardas295           Pavardė295     7.68
Vardas116           Pavardė116     7.69
Vardas533           Pavardė533     7.69
Vardas966           Pavardė966     7.71
Vardas867           Pavardė867     7.72
Vardas417           Pavardė417     7.72
Vardas776           Pavardė776     7.72
Vardas807           Pavardė807     7.73
Vardas732           Pavardė732     7.75
Vardas225           Pavardė225     7.75
Vardas762           Pavardė762     7.75
Vardas102           Pavardė102     7.75
Vardas967           Pavardė967     7.76
Vardas697           Pavardė697     7.77
Vardas727           Pavardė727     7.77
Vardas830           Pavardė830     7.77
Vardas532           Pavardė532     7.80
Vardas220           Pavardė220     7.81
Vardas918           Pavardė918     7.83
Vardas62            Pavardė62      7.83
Vardas889           Pavardė889     7.83
Vardas100           Pavardė100     7.84
Vardas156           Pavardė156     7.84
Vardas910           Pavardė910     7.85
Vardas839           Pavardė839     7.85
Vardas961           Pavardė961     7.87
Vardas291           Pavardė291     7.88
Vardas672           Pavardė672     7.89
Vardas851           Pavardė851     7.91
Vardas147           Pavardė147     7.91
Vardas623           Pavardė623     7.91
Vardas505           Pavardė505     7.92
Vardas349           Pavardė349     7.92
Vardas356           Pavardė356     7.92
Vardas446           Pavardė446     7.92
Vardas517           Pavardė517     7.92
Vardas226           Pavardė226     7.92
Vardas319           Pavardė319     7.92
Vardas858           Pavardė858     7.93
Vardas683           Pavardė683     7.93
Vardas104           Pavardė104     7.93
Vardas706           Pavardė706     7.95
Vardas625           Pavardė625     7.96
Vardas217           Pavardė217     7.97
Vardas246           Pavardė246     7.97
Vardas932           Pavardė932     7.97
Vardas941           Pavardė941     7.97
Vardas91            Pavardė91      7.99
Vardas676           Pavardė676     7.99
Vardas935           Pavardė935     8.00
Vardas274           Pavardė274     8.00
Vardas988           Pavardė988     8.01
Vardas507           Pavardė507     8.03
Vardas770           Pavardė770     8.04
Vardas18            Pavardė18      8.07
Vardas989           Pavardė989     8.08
Vardas595           Pavardė595     8.08
Vardas47            Pavardė47      8.08
Vardas901           Pavardė901     8.11
Vardas97            Pavardė97      8.11
Vardas462           Pavardė462     8.12
Vardas230           Pavardė230     8.13
Vardas113           Pavardė113     8.13
Vardas640           Pavardė640     8.13
Vardas740           Pavardė740     8.16
Vardas699           Pavardė699     8.16
Vardas897           Pavardė897     8.16
Vardas642           Pavardė642     8.16
Vardas121           Pavardė121     8.16
Vardas527           Pavardė527     8.19
Vardas728           Pavardė728     8.19
Vardas678           Pavardė678     8.21
Vardas973           Pavardė973     8.21
Vardas24            Pavardė24      8.21
Vardas281           Pavardė281     8.21
Vardas822           Pavardė822     8.21
Vardas399           Pavardė399     8.23
Vardas194           Pavardė194     8.23
Vardas530           Pavardė530     8.23
Vardas378           Pavardė378     8.24
Vardas593           Pavardė593     8.27
Vardas781           Pavardė781     8.27
Vardas911           Pavardė911     8.28
Vardas330           Pavardė330     8.29
Vardas619           Pavardė619     8.29
Vardas466           Pavardė466     8.29
Vardas275           Pavardė275     8.29
Vardas522           Pavardė522     8.32
Vardas221           Pavardė221     8.32
Vardas624           Pavardė624     8.32
Vardas970           Pavardė970     8.35
Vardas800           Pavardė800     8.35
Vardas817           Pavardė817     8.35
Vardas656           Pavardė656     8.37
Vardas513           Pavardė513     8.37
Vardas118           Pavardė118     8.37
Vardas680           Pavardė680     8.37
Vardas423           Pavardė423     8.43
Vardas825           Pavardė825     8.43
Vardas983           Pavardė983     8.43
Vardas860           Pavardė860     8.43
Vardas722           Pavardė722     8.43
Vardas520           Pavardė520     8.44
Vardas962           Pavardė962     8.48
Vardas94            Pavardė94      8.48
Vardas372           Pavardė372     8.51
Vardas211           Pavardė211     8.53
Vardas436           Pavardė436     8.56
Vardas342           Pavardė342     8.56
Vardas693           Pavardė693     8.61
Vardas60            Pavardė60      8.61
Vardas394           Pavardė394     8.67
Vardas496           Pavardė496     8.67
Vardas963           Pavardė963     8.67
Vardas789           Pavardė789     8.67
Vardas428           Pavardė428     8.67
Vardas521           Pavardė521     8.67
Vardas327           Pavardė327     8.69
Vardas325           Pavardė325     8.69
Vardas594           Pavardė594     8.69
Vardas23            Pavardė23      8.77
Vardas912           Pavardė912     8.83
Vardas673           Pavardė673     8.93
Vardas232           Pavardė232     9.07
