Vardas              Pavardė            ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   ND11   ND12   ND13   ND14   ND15   Egz.
Vardas140           Pavardė140         3      2      3      7      2      8      2      2      1      9      9      9      4      4      1      6
Vardas141           Pavardė141         8      1      4      1      7      9      10     6      1      2      7      10     6      5      10     1
Vardas142           Pavardė142         2      10     9      8      8      2      3      4      10     4      8      7      10     7      6      3
Vardas143           Pavardė143         3      7      3      2      9      7      4      5      8      6      8      2      9      7      10     5
Vardas144           Pavardė144         5      7      2      2      10     9      1      7      8      4      6      7      8      2      7      6
Vardas145           Pavardė145         10     10     5      8      3      4      7      5      10     4      9      7      8      5      5      3
Vardas146           Pavardė146         8      4      10     10     10     10     3      7      7      5      10     8      8      7      7      5
Vardas147           Pavardė147         9      5      4      5      2      4      2      2      1      9      4      5      6      4      9      10
Vardas148           Pavardė148         2      10     5      5      4      6      1      2      7      5      7      10     2      9      6      10
Vardas149           Pavardė149         10     1      1      10     2      3      1      4      4      5      9      6      2      9      5      8
Vardas150           Pavardė150         3      4      10     3      2      3      2      10     10     8      9      8      4      6      1      3
Vardas151           Pavardė151         7      9      4      4      10     10     9      8      3      8      10     7      9      10     1      10
Vardas152           Pavardė152         7      8      2      10     1      1      1      4      2      1      8      4      6      2      2      1
Vardas153           Pavardė153         1      1      10     8      3      8      4      7      4      9      6      10     7      9      10     6
Vardas154           Pavardė154         6      9      6      4      3      2      8      1      10     3      2      6      6      3      7      8
Vardas155           Pavardė155         6      1      1      10     5      8      3      2      7      1      1      5      1      9      4      5
Vardas156           Pavardė156         7      4      5      5      10     10     2      3      7      9      6      7      5      2      6      1
Vardas157           Pavardė157         6      8      7      1      6      8      2      4      9      4      1      1      7      3      7      2
Vardas158           Pavardė158         7      8      8      9      5      4      10     4      9      10     1      5      10     10     3      1
Vardas159           Pavardė159         5      6      8      9      7      5      5      5      4      7      10     5      5      1      3      3
Vardas160           Pavardė160         6      10     1      7      4      10     2      5      5      9      9      10     6      10     7      3
Vardas161           Pavardė161         7      6      4      1      4      4      1      1      2      9      5      10     5      6      3      8
Vardas162           Pavardė162         2      8      6      10     4      5      7      2      10     1      8      7      5      3      3      2
Vardas163           Pavardė163         9      9      3      10     2      8      1      3      4      4      10     4      4      2      4      9
Vardas164           Pavardė164         1      2      8      3      7      6      3      6      6      10     6      9      4      10     4      6
Vardas165           Pavardė165         6      4      5      1      2      6      7      4      7      2      10     3      4      3      9      1
Vardas166           Pavardė166         4      4      3      10     4      1      9      2      4      2      2      10     6      1      2      3
Vardas167           Pavardė167         9      5      4      3      2      9      4      5      8      5      6      9      2      9      1      2
Vardas168           Pavardė168         1      6      3      10     6      8      2      7      9      2      9      5      9      6      2      8
Vardas169           Pavardė169         5      9      10     6      5      3      5      1      6      10     1      4      2      2      10     8
Vardas170           Pavardė170         9      1      8      9      10     5      7      5      4      2      4      4      1      5      2      6
Vardas171           Pavardė171         7      1      6      1      5      4      3      2      10     7      1      5      4      10     9      8
Vardas172           Pavardė172         5      5      6      8      1      8      4      9      10     8      6      4      9      6      9      8
Vardas173           Pavardė173         4      7      8      10     1      1      8      4      5      2      9      6      5      8      4      10
Vardas174           Pavardė174         4      6      9      4      8      10     6      3      10     2      10     5      1      5      3      5
Vardas175           Pavardė175         10     10     1      5      5      3      8      1      10     2      7      2      8      1      3      8
Vardas176           Pavardė176         1      10     10     9      5      2      8      7      10     9      10     5      5      10     4      1
Vardas177           Pavardė177         5      2      5      1      3      5      3      7      5      6      10     10     6      8      9      2
Vardas178           Pavardė178         2      2      2      9      7      7      5      5      7      7      9      3      10     6      2      5
Vardas179           Pavardė179         4      4      7      10     10     10     5      9      6      6      6      7      9      2      2      8
Vardas180           Pavardė180         9      10     4      1      10     8      9      3      1      5      3      3      2      3      7      6
Vardas181           Pavardė181         8      6      3      4      9      5      9      6      9      1      8      1      6      5      2      5
Vardas182           Pavardė182         7      4      1      7      6      6      6      3      1      5      10     2      8      8      2      4
Vardas183           Pavardė183         6      3      1      4      4      4      3      4      5      3      7      4      5      9      2      4
Vardas184           Pavardė184         1      6      8      8      6      1      6      3      7      7      2      4      4      5      2      2
Vardas185           Pavardė185         2      9      7      8      9      1      9      4      5      5      1      2      9      1      5      4
Vardas186           Pavardė186         9      2      8      2      4      7      1      9      2      4      7      1      4      6      3      3
Vardas187           Pavardė187         2      4      10     8      6      4      7      3      1      1      7      4      6      4      7      8
Vardas188           Pavardė188         5      2      6      10     3      2      1      3      2      8      1      10     6      5      3      3
Vardas189           Pavardė189         3      9      9      2      6      8      2      1      5      4      5      8      10     2      5      10
Vardas190           Pavardė190         2      1      4      4      6      4      3      4      6      7      6      7      1      3      5      6
Vardas191           Pavardė191         8      2      6      3      4      4      4      2      3      1      4      3      6      5      4      4
Vardas192           Pavardė192         4      8      10     7      9      3      9      8      6      6      7      2      6      3      2      8
Vardas193           Pavardė193         10     8      2      1      9      5      9      6      6      6      9      5      7      4      8      9
Vardas194           Pavardė194         8      4      2      2      9      8      7      5      2      6      8      3      8      7      9      9
Vardas195           Pavardė195         6      4      9      9      1      10     7      2      1      6      9      8      2      1      5      5
Vardas196           Pavardė196         9      8      5      6      7      6      6      2      3      4      6      10     4      10     10     9
Vardas197           Pavardė197         4      3      5      7      5      6      8      4      8      8      3      9      3      1      4      1
Vardas198           Pavardė198         7      4      7      7      9      3      6      9      10     4      9      9      6      10     7      4
Vardas199           Pavardė199         1      8      2      9      5      5      1      4      10     6      7      8      1      4      5      9
Vardas200           Pavardė200         2      8      7      9      6      9      8      5      9      6      9      3      5      1      6      3
Vardas201           Pavardė201         9      5      3      10     4      3      6      3      5      4      9      8      8      1      7      9
Vardas202           Pavardė202         6      10     9      5      2      2      4      1      10     8      1      10     5      6      6      7
Vardas203           Pavardė203         9      1      4      1      7      9      7      4      6      10     6      7      8      8      4      2
Vardas204           Pavardė204         1      1      1      9      6      8      3      5      7      7      9      7      7      8      8      10
Vardas205           Pavardė205         6      2      3      2      1      1      7      2      4      9      8      10     8      2      4      3
Vardas206           Pavardė206         7      5      2      10     6      8      4      2      7      7      1      6      10     3      1      6
Vardas207           Pavardė207         8      4      7      3      4      5      8      1      7      9      10     9      9      6      1      6
Vardas208           Pavardė208         8      5      10     8      4      8      5      8      10     9      2      10     1      2      7      9
Vardas209           Pavardė209         5      8      4      10     6      8      10     1      3      1      8      3      7      3      6      8
Vardas210           Pavardė210         7      6      10     6      8      4      10     6      6      10     4      3      1      8      6      10
Vardas211           Pavardė211         2      3      8      9      4      7      9      6      2      1      1      5      3      4      7      1
Vardas212           Pavardė212         5      8      7      3      9      10     3      7      8      6      3      10     7      9      9      4
Vardas213           Pavardė213         4      2      9      3      2      6      10     3      8      6      6      10     3      8      5      8
Vardas214           Pavardė214         7      5      9      10     6      9      3      2      7      7      2      7      10     5      3      9
Vardas215           Pavardė215         3      4      7      3      5      1      8      2      7      4      9      2      4      3      5      6
Vardas216           Pavardė216         6      5      9      7      6      7      3      5      2      8      3      9      2      4      2      9
Vardas217           Pavardė217         5      4      2      3      10     5      10     7      9      3      10     10     4      3      7      5
Vardas218           Pavardė218         8      10     5      6      5      8      8      3      3      7      7      4      9      4      10     5
Vardas219           Pavardė219         5      2      8      5      3      1      4      5      10     2      5      2      4      1      1      7
Vardas220           Pavardė220         9      1      5      10     3      2      4      3      10     7      6      1      1      2      7      7
Vardas221           Pavardė221         8      5      10     2      5      7      1      3      8      7      8      8      1      5      3      5
Vardas222           Pavardė222         10     7      8      10     2      9      5      6      9      8      5      6      7      9      8      6
Vardas223           Pavardė223         1      8      3      5      8      8      9      4      4      4      10     8      6      6      4      10
Vardas224           Pavardė224         5      9      5      6      6      3      7      7      5      10     8      10     4      2      8      4
Vardas225           Pavardė225         4      8      2      8      8      5      1      2      4      1      2      9      5      5      9      1
Vardas226           Pavardė226         1      1      9      9      10     1      7      3      4      8      9      1      7      7      2      4
Vardas227           Pavardė227         9      10     6      8      8      1      4      4      1      2      2      9      10     8      4      4
Vardas228           Pavardė228         6      4      3      7      6      9      7      3      2      10     9      4      7      5      2      7
Vardas229           Pavardė229         6      10     8      1      9      6      9      9      8      10     3      7      1      6      3      1
Vardas230           Pavardė230         4      3      4      2      10     10     3      8      10     2      9      9      5      10     1      9
Vardas231           Pavardė231         8      3      2      1      5      7      8      8      1      2      2      7      1      7      9      1
Vardas232           Pavardė232         4      4      7      3      8      10     5      6      9      9      5      3      1      9      4      3
Vardas233           Pavardė233         7      2      4      4      1      4      3      2      9      4      8      6      2      5      2      5
Vardas234           Pavardė234         9      2      2      2      8      4      4      4      6      1      4      4      6      3      1      4
Vardas235           Pavardė235         7      3      9      5      6      9      7      8      6      10     1      4      6      7      8      2
Vardas236           Pavardė236         9      6      6      9      5      4      3      3      6      6      9      4      10     1      6      1
Vardas237           Pavardė237         9      7      3      1      9      9      10     2      4      1      7      5      3      9      10     10
Vardas238           Pavardė238         2      6      6      6      10     2      4      1      3      3      1      6      10     6      2      7
Vardas239           Pavardė239         4      2      10     10     3      3      4      5      3      9      7      1      9      3      1      7
Vardas240           Pavardė240         5      3      6      3      8      1      9      1      9      9      3      1      9      5      4      4
Vardas241           Pavardė241         10     1      3      1      8      6      8      5      6      6      10     9      6      6      7      2
Vardas242           Pavardė242         4      6      6      1      4      9      10     10     8      7      8      9      6      1      4      3
Vardas243           Pavardė243         7      1      8      5      7      7      7      7      5      2      9      5      9      9      2      1
Vardas244           Pavardė244         3      4      3      2      7      3      7      6      9      6      3      8      1      4      10     8
Vardas245           Pavardė245         6      2      10     5      9      2      10     3      4      2      10     5      2      5      5      4
Vardas246           Pavardė246         10     5      4      1      8      9      4      5      1      2      2      7      8      3      9      3
Vardas247           Pavardė247         4      5      1      3      6      4      2      10     4      5      5      8      3      8      5      8
Vardas248           Pavardė248         10     1      3      5      6      9      5      5      2      4      3      2      10     9      6      7
Vardas249           Pavardė249         7      1      2      6      5      7      8      8      2      2      2      6      6      3      5      3
Vardas250           Pavardė250         10     5      2      4      1      5      4      3      5      10     6      1      10     5      1      1
Vardas251           Pavardė251         2      2      5      6      4      7      6      5      6      9      2      3      4      7      8      9
Vardas252           Pavardė252         7      10     2      8      8      5      2      4      1      7      10     5      5      4      7      7
Vardas253           Pavardė253         8      2      7      6      2      4      7      8      4      5      3      7      3      3      7      6
Vardas254           Pavardė254         8      3      7      1      8      2      5      7      2      1      3      10     8      1      8      5
Vardas255           Pavardė255         1      2      5      3      5      6      10     7      10     9      6      3      10     10     10     5
Vardas256           Pavardė256         7      6      4      7      6      3      8      6      10     2      3      1      2      6      1      3
Vardas257           Pavardė257         8      7      2      4      7      9      5      3      5      3      4      6      2      10     10     8
Vardas258           Pavardė258         10     8      1      1      9      1      3      3      4      6      8      8      4      8      3      2
Vardas259           Pavardė259         8      1      5      3      8      7      2      6      5      2      9      6      10     5      4      3
Vardas260           Pavardė260         9      10     10     7      3      3      4      5      2      3      8      9      5      6      10     1
Vardas261           Pavardė261         1      1      6      6      8      1      10     4      10     4      9      7      1      2      9      1
Vardas262           Pavardė262         7      5      5      8      10     6      6      4      10     4      8      4      5      9      10     1
Vardas263           Pavardė263         3      2      10     7      6      3      2      5      8      9      10     1      10     1      1      10
Vardas264           Pavardė264         10     8      4      7      1      1      1      9      7      1      3      10     5      3      4      4
Vardas265           Pavardė265         9      9      1      6      1      6      6      3      6      7      7      9      3      8      6      7
Vardas266           Pavardė266         4      1      10     2      3      8      8      5      9      10     5      3      2      7      9      4
Vardas267           Pavardė267         6      1      3      10     1      9      7      8      1      2      6      1      7      4      3      9
Vardas268           Pavardė268         8      1      4      9      2      5      5      1      4      3      1      9      5      10     6      9
Vardas269           Pavardė269         5      8      1      10     5      1      1      9      3      9      4      5      9      9      1      8
Vardas270           Pavardė270         5      5      7      1      6      6      5      7      10     6      6      4      5      8      6      4
Vardas271           Pavardė271         9      8      7      9      5      10     6      8      9      8      2      6      3      5      6      6
Vardas272           Pavardė272         5      5      10     10     4      10     2      5      2      5      8      7      4      5      6      10
Vardas273           Pavardė273         9      4      7      7      2      8      9      5      2      6      2      3      9      8      1      5
Vardas274           Pavardė274         7      5      4      1      4      4      3      7      2      10     3      7      7      10     2      10
Vardas275           Pavardė275         9      4      1      1      9      5      5      6      2      5      6      3      7      10     6      7
Vardas276           Pavardė276         7      8      1      4      9      10     6      8      4      5      9      8      8      10     4      3
Vardas277           Pavardė277         6      1      10     8      2      3      4      10     4      6      7      4      4      3      4      7
Vardas278           Pavardė278         1      7      5      8      7      4      3      4      9      9      9      5      3      3      4      9
Vardas279           Pavardė279         4      10     9      8      6      10     2      5      8      7      3      6      6      1      9      4
Vardas280           Pavardė280         4      6      2      6      9      3      5      10     1      1      3      10     5      6      10     10
Vardas281           Pavardė281         8      9      3      2      10     2      9      3      2      9      3      6      4      5      2      4
Vardas282           Pavardė282         8      1      4      4      1      8      1      9      2      2      8      3      1      3      2      3
Vardas283           Pavardė283         10     9      9      8      6      5      7      5      7      5      9      4      10     8      2      7
Vardas284           Pavardė284         5      1      4      2      1      1      10     9      2      2      9      2      3      8      6      7
Vardas285           Pavardė285         9      4      9      9      1      3      7      5      2      8      5      6      8      9      5      6
Vardas286           Pavardė286         10     3      10     1      3      4      9      1      8      10     10     10     4      3      3      5
Vardas287           Pavardė287         8      2      1      2      5      9      8      1      9      3      10     1      10     10     10     3
Vardas288           Pavardė288         9      2      1      8      8      9      1      4      7      7      9      2      6      6      3      10
Vardas289           Pavardė289         4      7      1      7      5      2      2      1      6      9      1      10     1      9      4      2
Vardas290           Pavardė290         8      3      3      1      3      10     9      6      6      7      6      8      6      8      3      10
Vardas291           Pavardė291         3      3      6      10     6      6      9      1      8      10     1      6      1      1      1      2
Vardas292           Pavardė292         1      10     1      9      4      10     1      2      5      1      1      4      2      6      7      6
Vardas293           Pavardė293         7      10     4      7      9      5      10     1      1      8      1      2      5      4      6      1
Vardas294           Pavardė294         8      6      6      4      4      5      10     1      9      8      3      8      10     8      9      8
Vardas295           Pavardė295         5      2      3      10     1      5      9      4      8      6      9      6      6      6      4      1
Vardas296           Pavardė296         4      9      8      2      9      8      2      7      8      3      2      1      3      10     8      1
Vardas297           Pavardė297         6      4      1      5      10     5      5      3      8      8      10     5      5      5      6      1
Vardas298           Pavardė298         4      7      8      10     9      9      10     7      1      5      10     10     6      9      10     8
Vardas299           Pavardė299         7      4      4      5      8      10     6      1      6      9      6      7      1      10     4      5
Vardas300           Pavardė300         9      8      4      6      7      5      6      1      8      5      1      7      1      7      1      8
Vardas301           Pavardė301         10     10     2      5      6      1      3      5      9      5      4      3      8      6      7      9
Vardas302           Pavardė302         2      1      1      2      5      9      2      1      1      4      9      1      5      4      8      4
Vardas303           Pavardė303         2      10     8      2      5      1      10     10     5      4      2      5      7      9      6      7
Vardas304           Pavardė304         2      8      4      4      4      2      5      3      3      1      2      9      10     4      8      3
Vardas305           Pavardė305         1      6      3      10     2      3      5      5      7      8      8      1      9      10     6      8
